ÍNDICES SENTINEL 2	1CALI/2VALI	B1	B2	B3	B4	B5	B6	B7	B8	B8A	I B5B6 	I B5B2	I B2B3	TURBIDEZ IN SITU	TURBIDEZ (ZHAN)	TURBIDEZ (DELEGIDO)	TURBIDEZ (MACIEL B6)	TURBIDEZ (MACIEL B8A)	TURBIDEZ (RN)
EPPA315 16062020	2	0.007406432451	0.01002078081	0.01360901777	0.01446792902	0.01405194041	0.006248233032	0.005273507563	0.003837946206	0.003105121309	0.01015008672	0.01970475486	0.7363338763	18	4.7443892	5.658542103	6.710680841	7.739809363	28.21570023
EPPA314 29092020	2	0.005801347712	0.007341678454	0.009220191318	0.01143927704	0.01050050772	0.004916386828	0.00421816698	0.003078249826	0.00258618552	0.007708447274	0.01501845431	0.7962609669	18.2	3.831544714	4.383684578	5.243706724	6.430300239	17.36969364
EPPA314 16062020	2	0.004770759388	0.006848369986	0.00927651679	0.01092492731	0.009479287163	0.003876014913	0.003255193278	0.002351777581	0.001855644088	0.006677651038	0.01312091568	0.738248002	19	3.461923165	5.610815316	4.111833658	4.597801755	12.79079368
EBAY348 16112021	2	0.00554943918	0.007654137342	0.01023032809	0.01278332206	0.01165721157	0.005108414946	0.004534506011	0.003320500887	0.01171485489	0.008382813259	0.01775387291	0.7481810236	22.5	4.364376905	5.371412562	5.453963446	30.4587765	20.36529478
EBAY346 16112021	2	0.005457500778	0.007691323524	0.01045402415	0.01322389003	0.01202276285	0.005030030806	0.004428652412	0.00317955831	0.01198716995	0.008526396826	0.01879349191	0.7357285016	23.3	4.56688429	5.673746852	5.368087827	31.2093388	21.00310734
ESGP361 27102021	2	0.004786330477	0.007157488479	0.0105418751	0.01264090467	0.01238934062	0.004904302294	0.004505774992	0.003223362489	0.01213674307	0.008646821456	0.02144547789	0.6789578143	24.3	5.083464638	7.37313937	5.230489082	31.62246878	21.53804559
ERDB355 28102021	2	0.006891994591	0.009390067173	0.01241147184	0.01539570052	0.01432635146	0.006855583984	0.006232301207	0.004703354315	0.01419940803	0.01059096772	0.02185760148	0.7565635481	25	5.163742192	5.179665209	7.386464871	37.38355386	30.17413772
EPPA334 24022021	2	0.009179898671	0.01272037918	0.01696861345	0.01769622646	0.01601765758	0.006414687068	0.005724409305	0.00410038011	0.003240741861	0.01121617233	0.02016963102	0.749641638	26.3	4.834942426	5.337342207	6.895462247	8.083116833	32.95135909
EPPA328 24022021	2	0.007901641775	0.01121058138	0.01527325159	0.01482912131	0.01514943624	0.006232423378	0.005594863908	0.004017628784	0.003217980228	0.01069092981	0.02047221376	0.7340009632	26.7	4.893882519	5.717430695	6.693147212	8.025467217	30.61817931
ERDB354 17112021	2	0.005898464042	0.007931792977	0.01045675895	0.01352176137	0.01264087031	0.005973685359	0.005309880042	0.003948068212	0.01196974087	0.009307277833	0.02014571013	0.7585326401	27.2	4.830282876	5.135924948	6.406606684	31.16123893	24.47185886
ERDB354 21092021	2	0.005546054335	0.007848471583	0.01071550127	0.01404483687	0.01321190863	0.006130319005	0.005335286608	0.003913634003	0.01229151429	0.009671113815	0.0222405761	0.7324409178	28.2	5.238341819	5.757257506	6.579978638	32.05060932	26.08805468
EPPA323 20012021	2	0.008107367615	0.01131363426	0.01532735199	0.01611661126	0.01535579967	0.006102412847	0.005499098381	0.003925600913	0.003064695119	0.01072910626	0.02084216069	0.7381336498	28.8	4.965944481	5.613651769	6.549069554	7.637561651	30.7877629
EPPA325 20012021	2	0.008724850707	0.01206291004	0.01619924681	0.01700021682	0.01600807401	0.006394671796	0.005775895289	0.00412778239	0.003241580294	0.0112013729	0.02124350033	0.7446586979	29.3	5.044121429	5.454751312	6.873226156	8.08524062	32.88561856
EPPA320 16062020	2	0.007359866737	0.01022276446	0.01407885855	0.01470181327	0.01440668346	0.006373709031	0.005375687006	0.003905382551	0.003150516195	0.01039019625	0.02030297471	0.7261074768	30	4.860916445	5.922719549	6.84994244	7.854671414	29.28229075
ERDB356 17112021	2	0.005311891478	0.007388824757	0.01000177583	0.01312819031	0.01243522474	0.005725264964	0.005106714901	0.003733551251	0.01147053159	0.00908024485	0.02092820162	0.7387512857	30.2	4.982704393	5.598353836	6.132220766	29.78710516	23.46335565
ERDB343 02022022	2	0.006972410148	0.009919064156	0.01416127879	0.01507925461	0.0163287411	0.007832673588	0.007150234484	0.005244666773	0.01609331035	0.01208070734	0.02688033686	0.7004356245	30.6	6.142120817	6.660768779	8.482739421	42.78038543	36.79171009
EPPA321 20012021	2	0.00955028613	0.01316150793	0.01752446298	0.01934396471	0.01752733108	0.007032500945	0.00631673355	0.004516754288	0.003522264934	0.01227991601	0.02334134784	0.7510363051	31.7	5.452761146	5.305073177	7.5841273	8.797188727	37.67661491
EPPA318 19012021	2	0.008693080899	0.01202258373	0.01595401449	0.01809829693	0.01603501974	0.006525771117	0.005837716904	0.004191278223	0.003284808655	0.01128039543	0.02138657245	0.7535773351	32.3	5.071990448	5.246932557	7.01895657	8.194763005	33.23664453
EPPA319 19012021	2	0.009004394598	0.01243288647	0.01656241162	0.01809863988	0.01652911679	0.006692383682	0.006038047393	0.004311978899	0.003370775777	0.01161075024	0.02197492131	0.750668849	33.1	5.186594922	5.313550385	7.204452891	8.412702537	34.70411362
ERDB357 17112021	2	0.005850764397	0.007821389652	0.01024171095	0.01333382858	0.0127553116	0.006235431449	0.005606133941	0.004156474427	0.01171730711	0.009495371523	0.02080167095	0.7636799837	33.4	4.958057485	5.023842025	6.696483076	30.46552625	25.30738984
EPPA313 19012021	2	0.008701174864	0.01184448173	0.01552542787	0.01778992392	0.01591502964	0.006604155062	0.006015829118	0.004319504028	0.003432037972	0.01125959235	0.02138448725	0.7629085542	35.3	5.071584271	5.040434847	7.106184122	8.568121276	33.14423519
EPPA318 23022021	2	0.005098603743	0.0081165935	0.01686285042	0.009198730313	0.02097904032	0.01345373632	0.01254646506	0.009171984603	0.007795545709	0.01721638832	0.05422473511	0.4813298642	55.2	11.46853615	22.65086683	15.01580183	19.8785513	59.60491854
ERDB344 02022022	2	0.006107210991	0.009230870004	0.01470372451	0.01301120958	0.01860178402	0.01040616595	0.009641167322	0.007110295063	0.01652254663	0.01450397499	0.03748578072	0.627791278	80.8	8.207955226	9.520737878	11.42499973	44.01810345	47.55610728
EPPA335 19022020	2	0.006057802061	0.01084918472	0.02417105662	0.01199875904	0.02960944685	0.02627575015	0.02500123645	0.01887406486	0.01749502242	0.0279425985	0.08080969814	0.4488502465	100	16.6470211	28.4496209	31.52520026	46.84253229	107.2518168
